C:\WINDOWS\system32>netsh routing ip show rtmroutes

            Префикс  Протокол    Прд  Мтр. Шлюз             Вид  Интерфейс
------------------  ----------  ---  ---  ---------------  --  ----------------
         0.0.0.0/0  NetMgmt      10   10  172.16.0.1       UM  Подключение по локальной сети
        10.0.0.0/8  Local         1   10  10.0.0.1         UM  Подключение по локальной сети 2
       10.0.0.1/32  Local         1   10  127.0.0.1        U   Замыкание на себя
 10.255.255.255/32  Local         1   10  10.0.0.1         UM  Подключение по локальной сети 2
       127.0.0.0/8  Local         1    1  127.0.0.1        U   Замыкание на себя
      127.0.0.1/32  Local         1    1  127.0.0.1        U   Замыкание на себя
     172.16.0.0/16  Local         1   10  172.16.0.10      UM  Подключение по локальной сети
    172.16.0.10/32  Local         1   10  127.0.0.1        U   Замыкание на себя
 172.16.255.255/32  Local         1   10  172.16.0.10      UM  Подключение по локальной сети
       224.0.0.0/4  Local         1   10  10.0.0.1         UM  Подключение по локальной сети 2
       224.0.0.0/4  Local         1   10  172.16.0.10      UM  Подключение по локальной сети
255.255.255.255/32  Local         1    1  10.0.0.1         UM  Подключение по локальной сети 2
255.255.255.255/32  Local         1    1  172.16.0.10      UM  Подключение по локальной сети
